id	name	ugrad	grad exchange
320	Guatemala	10	6	0
324	Guinea	0	0	0
328	Guyana	0	0	0
332	Haiti	0	0	0
334	Heard Island and McDonald Islands	0	0	0
336	Holy See (Vatican City State)	0	0	0
340	Honduras	4	0	0
344	Hong Kong	9	0	1	
348	Hungary	0	0	0
352	Iceland	0	0	0
356	India	89	120	3
360	Indonesia	20	4	0
364	Iran, Islamic Republic of	0	0	0
368	Iraq	0	0	0
372	Ireland	1	0	0
376	Israel	0	1	0
380	Italy	6	0	0
384	Côte d'Ivoire	0	0	0
388	Jamaica	0	0	0
392	Japan	5	11	1
398	Kazakhstan	1	0	0
400	Jordan	1	0	0
404	Kenya	0	2	0
408	Korea, Democratic People's Republic of	0	0	0
410	Korea, Republic of	42	2	0
414	Kuwait	6	0	0
417	Kyrgyzstan	0	0	0
418	Lao People's Democratic Republic	0	0	0
422	Lebanon	0	0	0
426	Lesotho	0	0	0
428	Latvia	1	0	0
430	Liberia	1	0	0
434	Libya	0	0	0
438	Liechtenstein	0	0	0
440	Lithuania	0	0	0
442	Luxembourg	0	0	0
446	Macao	1	0	0
450	Madagascar	0	0	0
454	Malawi	0	0	0
458	Malaysia	2	0	0
462	Maldives	0	0	0
466	Mali	0	0	0
470	Malta	0	0	0
474	Martinique	0	0	0
478	Mauritania	0	0	0
480	Mauritius	0	0	0
484	Mexico	19	32	0
492	Monaco	0	0	0
496	Mongolia	0	0	0
498	Moldova, Republic of	0	0	0
499	Montenegro	0	0	0
500	Montserrat	0	0	0
504	Morocco	3	1	0
508	Mozambique	0	0	0
512	Oman	1	0	0
516	Namibia	1	0	0
520	Nauru	0	0	0
524	Nepal	1	1	0
528	Netherlands	4	0	0
531	Curaçao	0	0	0
533	Aruba	0	0	0
534	Sint Maarten (Dutch part)	0	0	0
535	Bonaire, Sint Eustatius and Saba	0	0	0
540	New Caledonia	0	0	0
548	Vanuatu	0	0	0
554	New Zealand	2	0	0
558	Nicaragua	1	0	0
562	Niger	0	0	0
566	Nigeria	1	1	0	0
570	Niue	0	0	0
574	Norfolk Island	0	0	0
578	Norway	2	0	1
580	Northern Mariana Islands	0	0	0
581	United States Minor Outlying Islands	0	0	0
583	Micronesia, Federated States of	0	0	0
584	Marshall Islands	0	0	0
585	Palau	0	0	0
586	Pakistan	1	6	0
591	Panama	5	3	0
598	Papua New Guinea	0	0	0
600	Paraguay	2	1	0
604	Peru	1	7	0
608	Philippines	2	3	0
612	Pitcairn	0	0	0
616	Poland	0	0	0
620	Portugal	0	0	0
624	Guinea-Bissau	0	0	0
626	Timor-Leste	0	0	0
630	Puerto Rico	0	0	0
634	Qatar	1	0	0
638	Réunion	0	0	0
642	Romania	3	0	0
643	Russian Federation	0	1	0
646	Rwanda	0	0	0
652	Saint Barthélemy	0	0	0
654	Saint Helena, Ascension and Tristan da Cunha	0	0	0
659	Saint Kitts and Nevis	0	0	0
660	Anguilla	0	0	0
662	Saint Lucia	0	0	0
663	Saint Martin (French part)	0	0	0
666	Saint Pierre and Miquelon	0	0	0
670	Saint Vincent and the Grenadines	0	0	0
674	San Marino	0	0	0
678	Sao Tome and Principe	0	0	0
682	Saudi Arabia	6	8	0
686	Senegal	0	0	0
688	Serbia	1	0	0
690	Seychelles	0	0	0
694	Sierra Leone	0	0	0
702	Singapore	8	2	3
703	Slovakia	0	0	0
704	Viet Nam	5	1	0
705	Slovenia	0	0	0
706	Somalia	0	0	0
710	South Africa	2	1	0
716	Zimbabwe	0	0	0
724	Spain	12	2	3
728	South Sudan	0	0	0
729	Sudan	0	0	0
732	Western Sahara	0	0	0
740	Suriname	0	0	0
744	Svalbard and Jan Mayen	0	0	0
748	Swaziland	0	0	0
752	Sweden	2	0	2
756	Switzerland	5	3	4
760	Syrian Arab Republic	0	0	0
762	Tajikistan	1	0	0
764	Thailand	25	24	0
768	Togo	0	0	0
772	Tokelau	0	0	0
776	Tonga	0	0	0
780	Trinidad and Tobago	0	0	0
784	United Arab Emirates	0	0	0
788	Tunisia	0	0	0
792	Turkey	27	0	0
795	Turkmenistan	0	0	0
796	Turks and Caicos Islands	1	0	0
798	Tuvalu	8	0	0
800	Uganda	1	0	0
804	Ukraine	8	0	0
807	Macedonia, the former Yugoslav Republic of	8	0	0
818	Egypt	8	0	0
826	United Kingdom	15	1	0
831	Guernsey	8	0	0
832	Jersey	8	0	0
833	Isle of Man	8	0	0
834	Tanzania, United Republic of	1	2	0
840	United States	0	0	0
850	Virgin Islands, U.S.	0	0	0
854	Burkina Faso	0	0	0
858	Uruguay	2	1	2
860	Uzbekistan	0	0	0
862	Venezuela, Bolivarian Republic of	14	11	0
876	Wallis and Futuna	0	0	0
882	Samoa	0	0	0
887	Yemen	0	0	0
894	Zambia	0	0	0
